customer_class,fuel_type,projection_scenario,full name,api key,units,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Growth (2024-2050)
Industrial,Natural Gas,Reference case,Energy Prices: Industrial: Natural Gas: Reference case,AEO.2025.REF2025.PRCE_REAL_IDAL_NA_NG_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,3.033659,3.786235,3.732171,3.605308,3.68818,3.815892,3.975543,4.118014,4.569036,4.90954,5.095767,5.162632,5.138429,5.052448,4.954655,4.88526,4.910944,5.023375,5.101038,5.168559,5.195311,5.243546,5.334824,5.334181,5.283559,5.226614,5.18334,2.10%
Industrial,Natural Gas,High Economic Growth,Energy Prices: Industrial: Natural Gas: High Economic Growth,AEO.2025.HM2025.PRCE_REAL_IDAL_NA_NG_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,3.035829,3.783678,3.771551,3.652166,3.716339,3.825177,3.998401,4.145315,4.646651,5.047976,5.247231,5.280471,5.178678,5.057582,4.991402,4.987578,5.045545,5.162455,5.246587,5.300991,5.332731,5.36762,5.454253,5.463016,5.432973,5.400084,5.386641,2.20%
Industrial,Natural Gas,Low Economic Growth,Energy Prices: Industrial: Natural Gas: Low Economic Growth,AEO.2025.LM2025.PRCE_REAL_IDAL_NA_NG_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,3.044617,3.797337,3.733409,3.569407,3.629892,3.757225,3.907402,4.036759,4.430918,4.768998,4.959965,4.996969,4.947099,4.850318,4.775427,4.726706,4.7677,4.884891,4.960819,5.036459,5.095682,5.164106,5.260499,5.241201,5.181247,5.134701,5.103183,2.00%
Industrial,Natural Gas,High Oil Price,Energy Prices: Industrial: Natural Gas: High Oil Price,AEO.2025.HIGHPRICE.PRCE_REAL_IDAL_NA_NG_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,3.037228,3.725811,3.652988,3.475386,3.508746,3.568192,3.749811,3.94782,4.33,4.546782,4.672388,4.725204,4.779139,4.836975,4.832736,4.778224,4.832619,4.945761,4.97514,4.939909,4.92872,4.982147,5.086973,5.145392,5.15073,5.154756,5.185552,2.10%
Industrial,Natural Gas,Low Oil Price,Energy Prices: Industrial: Natural Gas: Low Oil Price,AEO.2025.LOWPRICE.PRCE_REAL_IDAL_NA_NG_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,3.03677,3.861976,3.96404,4.056225,4.256836,4.490571,4.775442,4.977933,5.418629,5.641893,5.820284,5.957927,6.072684,6.126768,6.140279,6.153032,6.102077,6.090659,5.976005,5.788984,5.641794,5.532249,5.524013,5.49159,5.502144,5.530702,5.588945,2.40%
Industrial,Natural Gas,High Oil and Gas Supply,Energy Prices: Industrial: Natural Gas: High Oil and Gas Supply,AEO.2025.HIGHOGS.PRCE_REAL_IDAL_NA_NG_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,3.037354,3.354363,3.216516,3.187222,3.269472,3.302775,3.38821,3.433384,3.687982,3.787704,3.861,3.893965,3.896198,3.853923,3.828283,3.802149,3.858186,3.96148,3.990642,3.954452,3.877382,3.878767,3.936553,3.917846,3.897311,3.866667,3.829819,0.90%
Industrial,Natural Gas,Low Oil and Gas Supply,Energy Prices: Industrial: Natural Gas: Low Oil and Gas Supply,AEO.2025.LOWOGS.PRCE_REAL_IDAL_NA_NG_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,3.036612,4.675389,4.91607,4.970531,5.224185,5.638057,6.46798,7.134123,7.914479,8.296969,8.533931,8.69496,8.926229,8.922768,8.822773,8.843366,8.899483,8.949113,8.916762,8.811468,8.840305,8.872261,8.982852,9.159627,9.34256,9.553644,9.772229,4.60%
Industrial,Natural Gas,High Zero-Carbon Technology Cost,Energy Prices: Industrial: Natural Gas: High Zero-Carbon Technology Cost,AEO.2025.HIGHZTC.PRCE_REAL_IDAL_NA_NG_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,3.03807,3.775589,3.734348,3.614764,3.699095,3.838771,4.036365,4.197914,4.658872,5.005824,5.241096,5.308205,5.275061,5.20926,5.141078,5.060406,5.084177,5.189766,5.270329,5.31775,5.358383,5.398647,5.472622,5.476078,5.485491,5.529965,5.579914,2.40%
Industrial,Natural Gas,Low Zero-Carbon Technology Cost,Energy Prices: Industrial: Natural Gas: Low Zero-Carbon Technology Cost,AEO.2025.LOWZTC.PRCE_REAL_IDAL_NA_NG_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,3.033957,3.785074,3.736907,3.611527,3.678363,3.77744,3.955194,4.10602,4.57241,4.935346,5.183846,5.262694,5.203261,5.108292,4.930755,4.734931,4.652212,4.731338,4.754062,4.804981,4.909443,5.051233,5.208931,5.239138,5.221495,5.190152,5.148447,2.10%
Industrial,Natural Gas,Alternative Electricity,Energy Prices: Industrial: Natural Gas: Alternative Electricity,AEO.2025.NOCAA111.PRCE_REAL_IDAL_NA_NG_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,3.0363,3.788322,3.74489,3.604992,3.68733,3.808279,3.941305,4.084106,4.298882,4.565951,4.814783,4.995218,5.071143,5.058755,5.012494,4.976175,5.007414,5.085206,5.109467,5.13992,5.15809,5.206517,5.281788,5.281761,5.271152,5.27396,5.287265,2.20%
Industrial,Natural Gas,Alternative Transportation,Energy Prices: Industrial: Natural Gas: Alternative Transportation,AEO.2025.ALTTRNP.PRCE_REAL_IDAL_NA_NG_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,3.038145,3.788515,3.729237,3.597414,3.648019,3.770838,3.922343,4.040435,4.410389,4.702882,4.881601,4.928831,4.888187,4.826599,4.789548,4.754222,4.807226,4.931389,5.024547,5.08111,5.097829,5.116489,5.135957,5.09682,5.051393,5.020004,5.002475,1.90%
Industrial,Natural Gas,AEO2023 Reference case,Energy Prices: Industrial: Natural Gas: AEO2023 Reference case,AEO.2025.AEO2023REF.PRCE_REAL_IDAL_NA_NG_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,6.425033,5.330434,4.738138,4.287469,4.038081,3.951444,3.963141,4.028738,4.132992,4.230844,4.383525,4.502311,4.610309,4.627112,4.672297,4.79225,4.737083,4.854676,4.934813,4.922596,4.866679,4.808815,4.78305,4.752298,4.712132,4.67286,4.628728,4.61502,-0.50%
Industrial,Metallurgical Coal,Reference case,Energy Prices: Industrial: Metallurgical Coal: Reference case,AEO.2025.REF2025.PRCE_REAL_IDAL_NA_MTC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,- -
Industrial,Metallurgical Coal,High Economic Growth,Energy Prices: Industrial: Metallurgical Coal: High Economic Growth,AEO.2025.HM2025.PRCE_REAL_IDAL_NA_MTC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,- -
Industrial,Metallurgical Coal,Low Economic Growth,Energy Prices: Industrial: Metallurgical Coal: Low Economic Growth,AEO.2025.LM2025.PRCE_REAL_IDAL_NA_MTC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,- -
Industrial,Metallurgical Coal,High Oil Price,Energy Prices: Industrial: Metallurgical Coal: High Oil Price,AEO.2025.HIGHPRICE.PRCE_REAL_IDAL_NA_MTC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,- -
Industrial,Metallurgical Coal,Low Oil Price,Energy Prices: Industrial: Metallurgical Coal: Low Oil Price,AEO.2025.LOWPRICE.PRCE_REAL_IDAL_NA_MTC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,- -
Industrial,Metallurgical Coal,High Oil and Gas Supply,Energy Prices: Industrial: Metallurgical Coal: High Oil and Gas Supply,AEO.2025.HIGHOGS.PRCE_REAL_IDAL_NA_MTC_NA_WNC_Y13DLRPMMBTU.A,2024 $/MMBtu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,- -
