Carbon Dioxide (Case Reference case)
https://www.eia.gov/outlooks/aeo/data/browser/#/?id=22-AEO2025&region=0-0&cases=ref2025&start=2023&end=2024&f=A&linechart=~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ref2025-d032025a.79-22-AEO2025~ref2025-d032025a.62-22-AEO2025~ref2025-d032025a.31-22-AEO2025~ref2025-d032025a.18-22-AEO2025~ref2025-d032025a.36-22-AEO2025~ref2025-d032025a.37-22-AEO2025~ref2025-d032025a.38-22-AEO2025~ref2025-d032025a.39-22-AEO2025~ref2025-d032025a.40-22-AEO2025~ref2025-d032025a.41-22-AEO2025~ref2025-d032025a.42-22-AEO2025~ref2025-d032025a.43-22-AEO2025~ref2025-d032025a.44-22-AEO2025~ref2025-d032025a.45-22-AEO2025~ref2025-d032025a.46-22-AEO2025~ref2025-d032025a.47-22-AEO2025~ref2025-d032025a.48-22-AEO2025~ref2025-d032025a.49-22-AEO2025~ref2025-d032025a.50-22-AEO2025~ref2025-d032025a.51-22-AEO2025~ref2025-d032025a.52-22-AEO2025~ref2025-d032025a.53-22-AEO2025~ref2025-d032025a.54-22-AEO2025~ref2025-d032025a.55-22-AEO2025~ref2025-d032025a.57-22-AEO2025~ref2025-d032025a.58-22-AEO2025~ref2025-d032025a.59-22-AEO2025~ref2025-d032025a.60-22-AEO2025~ref2025-d032025a.61-22-AEO2025&ctype=linechart&sourcekey=0
14:44:43 GMT-0700 (Pacific Daylight Time)
Data source: U.S. Energy Information Administration
Year,Transportation MMmt carbon dioxide,Industrial MMmt carbon dioxide,Commercial MMmt carbon dioxide,Residential MMmt carbon dioxide,Industrial: Manufacturing: Refining MMmt carbon dioxide,Industrial: Manufacturing: Food Products MMmt carbon dioxide,Industrial: Manufacturing: Paper Products MMmt carbon dioxide,Industrial: Manufacturing: Bulk Chemicals MMmt carbon dioxide,Industrial: Manufacturing: Glass MMmt carbon dioxide,Industrial: Manufacturing: Cement and Lime MMmt carbon dioxide,Industrial: Manufacturing: Iron and Steel MMmt carbon dioxide,Industrial: Manufacturing: Aluminum MMmt carbon dioxide,Industrial: Manufacturing: Fabricated Metal Products MMmt carbon dioxide,Industrial: Manufacturing: Machinery MMmt carbon dioxide,Industrial: Manufacturing: Computers and Electronics MMmt carbon dioxide,Industrial: Manufacturing: Transportation Equipment MMmt carbon dioxide,Industrial: Manufacturing: Electrical Equipment MMmt carbon dioxide,Industrial: Manufacturing: Wood Products MMmt carbon dioxide,Industrial: Manufacturing: Plastics MMmt carbon dioxide,Industrial: Manufacturing: Light Chemicals MMmt carbon dioxide,Industrial: Manufacturing: Other Non-Metallic Minerals MMmt carbon dioxide,Industrial: Manufacturing: Other Primary metals MMmt carbon dioxide,Industrial: Manufacturing: Miscellaneous Finished Goods MMmt carbon dioxide,Industrial: Manufacturing MMmt carbon dioxide,Industrial: Nonmanufacturing: Agriculture MMmt carbon dioxide,Industrial: Nonmanufacturing: Construction MMmt carbon dioxide,Industrial: Nonmanufacturing: Mining MMmt carbon dioxide,Industrial: Nonmanufacturing MMmt carbon dioxide,Industrial: Discrepancy MMmt carbon dioxide
2050,1287.938965,1234.804077,441.356628,412.234772,198.30954,50.25058,39.257851,288.934021,5.264487,19.389809,62.975018,9.875146,9.452351,4.473012,9.69372,16.076832,2.476395,5.078198,9.510478,17.564384,11.299615,5.806967,11.729115,777.41748,76.333168,76.259247,77.230721,229.82312,227.563477
2049,1290.331177,1231.716309,440.202362,415.358215,198.910248,50.584515,39.259441,283.771729,5.30659,19.878983,63.383163,9.863803,9.470303,4.50027,9.547869,16.100174,2.481426,5.059355,9.534351,17.474096,11.258359,5.812328,11.793088,773.990051,75.825287,75.642143,77.298721,228.766159,228.960098
2048,1294.79541,1224.866089,438.431915,417.592987,199.271561,50.704704,39.20229,278.280914,5.34551,20.194895,63.865707,9.841763,9.423185,4.496344,9.342577,16.00592,2.476275,5.015602,9.496849,17.335762,11.221043,5.802515,11.789407,769.112793,75.231552,74.885918,76.959648,227.077118,228.676178
2047,1303.940552,1217.203735,435.653717,419.479889,198.128708,50.873455,39.080673,274.139374,5.393702,20.486822,64.151268,9.829882,9.419892,4.511512,9.176622,15.949723,2.478628,4.991566,9.488248,17.26041,11.19913,5.79964,11.829902,764.189148,74.762535,74.353043,76.980759,226.096329,226.918259
2046,1312.285278,1212.073242,433.964691,422.585358,197.441772,51.147297,39.167046,269.769684,5.463324,20.825903,64.7836,9.834824,9.528065,4.559228,9.153969,16.020493,2.49708,5.014645,9.585906,17.270864,11.2025,5.825053,11.937438,761.028748,74.346069,73.993324,77.169289,225.508667,225.535828
2045,1325.525757,1208.645264,433.200378,425.794281,198.346481,51.53672,39.207481,265.567902,5.52704,21.189999,65.790123,9.816275,9.608498,4.571485,9.106436,16.067234,2.515017,5.062973,9.69574,17.317497,11.20706,5.850931,12.043689,760.028625,73.92662,73.729111,77.369621,225.02536,223.591278
2044,1338.932739,1199.58252,431.289276,428.384644,198.755676,51.797474,39.197914,256.405029,5.583346,21.591465,66.292984,9.771427,9.648599,4.640832,8.995845,16.027267,2.52359,5.105466,9.738211,17.297995,11.25284,5.855926,12.113932,752.595947,73.465034,73.419449,77.548683,224.433167,222.553406
2043,1356.546021,1192.048096,429.151672,430.505432,199.29155,51.892792,39.060326,250.188599,5.62696,22.025795,66.695496,9.692691,9.634459,4.649941,8.806644,15.924816,2.522272,5.222333,9.728796,17.232435,11.370132,5.84167,12.15005,747.557739,73.056717,73.410187,77.591568,224.058472,220.431885
2042,1373.454834,1185.962402,426.503693,432.571381,197.887405,52.171234,39.008808,246.921371,5.669652,22.419455,66.794266,9.604593,9.653942,4.675925,8.655462,15.893647,2.527096,5.381658,9.747404,17.160898,11.45847,5.834204,12.20053,743.666016,72.7537,73.437943,77.662155,223.853806,218.442581
2041,1396.326782,1183.319214,426.333344,435.957397,199.724518,52.426937,38.994076,243.790054,5.719782,22.754318,67.257683,9.51805,9.644736,4.694339,8.533466,15.84107,2.530682,5.487903,9.748958,17.074579,11.499691,5.837009,12.25116,743.329102,72.394554,73.205452,77.565002,223.165009,216.825104
