Renewable Energy All Sectors Electricity Generation (Case Reference case Region United States)
https://www.eia.gov/outlooks/aeo/data/browser/#/?id=67-AEO2025&region=5-0&cases=ref2025&start=2023&end=2050&f=Q&linechart=~~ref2025-d032025a.116-67-AEO2025.5-0~ref2025-d032025a.115-67-AEO2025.5-0~ref2025-d032025a.114-67-AEO2025.5-0~ref2025-d032025a.113-67-AEO2025.5-0~ref2025-d032025a.112-67-AEO2025.5-0~ref2025-d032025a.111-67-AEO2025.5-0~ref2025-d032025a.110-67-AEO2025.5-0&ctype=linechart&sourcekey=0
14:35:01 GMT-0700 (Pacific Daylight Time)
Data source: U.S. Energy Information Administration
Year,Total BkWh,Wind BkWh,Solar BkWh,Wood and Other Biomass BkWh,Municipal Waste BkWh,Geothermal BkWh,Hydropower BkWh
2050,4679.737305,2084.943359,2200.889893,37.752514,26.386736,55.875927,273.889221
2049,4566.973633,2065.152588,2110.38916,37.497234,26.429947,55.229057,272.275635
2048,4468.854492,2037.19873,2041.717773,37.399605,26.279236,54.707775,271.551086
2047,4382.837891,2010.919189,1987.651978,37.247288,25.841751,53.808464,267.369049
2046,4294.080078,2001.951904,1907.97998,37.12608,25.288937,52.760082,268.972931
2045,4196.429688,1974.408936,1835.051636,36.999672,25.171234,51.753677,273.044312
2044,4112.586914,1956.383179,1768.802734,36.799248,24.698753,50.550205,275.352722
2043,4030.635254,1924.794067,1724.84436,36.697174,24.313177,49.050449,270.936279
2042,3944.56543,1891.197632,1675.477661,36.591099,23.609917,47.546394,270.142578
2041,3833.066895,1835.875,1621.020874,36.218731,23.119116,45.854481,270.978607
2040,3746.114258,1802.98938,1565.484009,36.037811,21.987057,43.954735,275.661407
2039,3632.293945,1750.167725,1513.233398,35.783417,21.242161,41.932323,269.935028
2038,3460.79541,1645.157837,1443.582275,35.590424,20.711569,39.691364,276.06192
2037,3262.53125,1512.553345,1380.122559,35.538929,19.856564,37.553604,276.906219
2036,3018.008789,1321.205566,1330.725586,35.613766,19.031006,35.513672,275.919281
2035,2797.231201,1178.689453,1251.509888,35.5653,18.693676,33.512375,279.26059
2034,2587.187012,1049.06189,1171.49292,35.495071,17.949471,31.485649,281.701904
2033,2355.561523,940.472046,1049.06189,35.409599,17.250845,29.464491,283.90271
2032,2136.981934,851.073486,922.677124,35.30162,16.349653,27.261766,284.318298
2031,1952.523193,781.381348,811.611633,35.032734,15.404904,24.601566,284.490936
2030,1791.359253,718.739136,716.098145,34.923782,14.548233,22.627474,284.422424
2029,1652.552124,663.643982,635.111572,34.847786,13.995403,20.776541,284.176849
2028,1548.36084,622.527161,574.677002,34.789139,13.174746,19.106167,284.086609
2027,1478.470337,584.486328,544.190857,35.654022,12.449594,17.562529,284.127045
2026,1371.296875,528.880798,504.176147,35.867558,11.502943,16.820408,274.049133
2025,1187.787231,469.45755,392.797791,35.763077,10.441557,15.366607,263.960602
2024,1059.80127,447.882202,307.746826,35.417988,9.428287,15.997908,243.327988
2023,,,,,,,
