unit_type,unit_name,combustion_unit_category,tech_scenario,scenario_rank,capex_formula,efficiency,
boiler,boiler,generic,baseline,best,C = 22506*(S/69444.44)^0.8431,93%,
boiler,boiler,generic,baseline,worst,C = 270000*(S/53763.44)^0.8431,72%,
boiler,boiler,generic,eb,best,C = 80915.43*(S/48672.5)^0.8431,99.90%,
boiler,boiler,generic,eb,worst,C = 271654.335*(S/46285)^0.8431,95%,
boiler,boiler,generic,hp,best,C = 30000000*(S/682594)^0.678,300%,(COP of 3)
boiler,boiler,generic,hp,worst,C = 40000000*(S/455071.7)^0.678,200%,(COP of 2)
PD (Product or intermediate product dryer),#1 PM / EU-39,specific (incl),baseline,best,C = 120000*(S/1829)^0.62,90%,
PD (Product or intermediate product dryer),#1 PM / EU-39,specific (incl),baseline,worst,C = 1700000*(S/9010)^0.62,85%,
PD (Product or intermediate product dryer),#1 PM / EU-39,specific (incl),eb,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),#1 PM / EU-39,specific (incl),eb,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),#1 PM / EU-39,specific (incl),hp,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),#1 PM / EU-39,specific (incl),hp,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),#2 PM / EU-39,specific (incl),baseline,best,C = 120000*(S/1829)^0.62,90%,
PD (Product or intermediate product dryer),#2 PM / EU-39,specific (incl),baseline,worst,C = 1700000*(S/9010)^0.62,85%,
PD (Product or intermediate product dryer),#2 PM / EU-39,specific (incl),eb,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),#2 PM / EU-39,specific (incl),eb,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),#2 PM / EU-39,specific (incl),hp,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),#2 PM / EU-39,specific (incl),hp,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),#5 PM / EU-39,specific (incl),baseline,best,C = 120000*(S/1829)^0.62,90%,
PD (Product or intermediate product dryer),#5 PM / EU-39,specific (incl),baseline,worst,C = 1700000*(S/9010)^0.62,85%,
PD (Product or intermediate product dryer),#5 PM / EU-39,specific (incl),eb,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),#5 PM / EU-39,specific (incl),eb,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),#5 PM / EU-39,specific (incl),hp,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),#5 PM / EU-39,specific (incl),hp,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),#6 PM / EU-39,specific (incl),baseline,best,C = 120000*(S/1829)^0.62,90%,
PD (Product or intermediate product dryer),#6 PM / EU-39,specific (incl),baseline,worst,C = 1700000*(S/9010)^0.62,85%,
PD (Product or intermediate product dryer),#6 PM / EU-39,specific (incl),eb,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),#6 PM / EU-39,specific (incl),eb,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),#6 PM / EU-39,specific (incl),hp,best,C = 150000*(S/1829)^0.62,99.90%,
PD (Product or intermediate product dryer),#6 PM / EU-39,specific (incl),hp,worst,C = 2000000*(S/9010)^0.62,97%,
PD (Product or intermediate product dryer),#7 PM / EU-39,specific (incl),baseline,best,C = 120000*(S/1829)^0.62,90%,
