unit_type,unit_name,combustion_unit_category,tech_scenario,scenario_rank,capex_formula,efficiency,...8
boiler,boiler,generic,baseline,best,C = 22506*([process_unit_heat_demand_in_kW/efficiency]/2543.4)^0.8431,0.93,NA
boiler,boiler,generic,baseline,worst,C = 270000*([process_unit_heat_demand_in_kW/efficiency]/1969.1)^0.8431,0.72,NA
boiler,boiler,generic,eb,best,C = 80915.43*([process_unit_heat_demand_in_kW/efficiency]/1782.63)^0.8431,0.9990000000000001,NA
boiler,boiler,generic,eb,worst,C = 271654.335*([process_unit_heat_demand_in_kW/efficiency]/1695.2)^0.8431,0.95,NA
boiler,boiler,generic,hp,best,C = 30000000*([process_unit_heat_demand_in_kW/efficiency]/25000)^0.678,3,(COP of 3)
boiler,boiler,generic,hp,worst,C = 40000000*([process_unit_heat_demand_in_kW/efficiency]/16667)^0.678,2,(COP of 2)
PD (Product or intermediate product dryer),#1 PM / EU-39,specific (incl),baseline,best,C = 120000*(process_unit_heat_demand_in_kW/67)^0.62,0.9,NA
PD (Product or intermediate product dryer),#1 PM / EU-39,specific (incl),baseline,worst,C = 1700000*(process_unit_heat_demand_in_kW/330)^0.62,0.85,NA
PD (Product or intermediate product dryer),#1 PM / EU-39,specific (incl),eb,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),#1 PM / EU-39,specific (incl),eb,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),#1 PM / EU-39,specific (incl),hp,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),#1 PM / EU-39,specific (incl),hp,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),#2 PM / EU-39,specific (incl),baseline,best,C = 120000*(process_unit_heat_demand_in_kW/67)^0.62,0.9,NA
PD (Product or intermediate product dryer),#2 PM / EU-39,specific (incl),baseline,worst,C = 1700000*(process_unit_heat_demand_in_kW/330)^0.62,0.85,NA
PD (Product or intermediate product dryer),#2 PM / EU-39,specific (incl),eb,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),#2 PM / EU-39,specific (incl),eb,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),#2 PM / EU-39,specific (incl),hp,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),#2 PM / EU-39,specific (incl),hp,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),#5 PM / EU-39,specific (incl),baseline,best,C = 120000*(process_unit_heat_demand_in_kW/67)^0.62,0.9,NA
PD (Product or intermediate product dryer),#5 PM / EU-39,specific (incl),baseline,worst,C = 1700000*(process_unit_heat_demand_in_kW/330)^0.62,0.85,NA
PD (Product or intermediate product dryer),#5 PM / EU-39,specific (incl),eb,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),#5 PM / EU-39,specific (incl),eb,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),#5 PM / EU-39,specific (incl),hp,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),#5 PM / EU-39,specific (incl),hp,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),#6 PM / EU-39,specific (incl),baseline,best,C = 120000*(process_unit_heat_demand_in_kW/67)^0.62,0.9,NA
PD (Product or intermediate product dryer),#6 PM / EU-39,specific (incl),baseline,worst,C = 1700000*(process_unit_heat_demand_in_kW/330)^0.62,0.85,NA
PD (Product or intermediate product dryer),#6 PM / EU-39,specific (incl),eb,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),#6 PM / EU-39,specific (incl),eb,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),#6 PM / EU-39,specific (incl),hp,best,C = 150000*(process_unit_heat_demand_in_kW/67)^0.62,0.9990000000000001,NA
PD (Product or intermediate product dryer),#6 PM / EU-39,specific (incl),hp,worst,C = 2000000*(process_unit_heat_demand_in_kW/330)^0.62,0.97,NA
PD (Product or intermediate product dryer),#7 PM / EU-39,specific (incl),baseline,best,C = 120000*(process_unit_heat_demand_in_kW/67)^0.62,0.9,NA
