state,elec_price_mean,elec_price_low,elec_price_high,ng_price_latest,ng_price_high,ng_price_low,r,t,ngboiler_om_low,ngboiler_om_high,eboiler_om_low,eboiler_om_high,hthp_om_low,hthp_om_high
AK,0.1816427217305133,0.13651356,0.20796862000000002,6.29,7.407822908313316,5.340853917498459,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
AL,0.07068062890732632,0.064627632,0.07670691,5.35,6.17485193908014,4.635333815674267,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
AR,0.06813184418059429,0.067950403,0.070047107,8.36,9.239897796576564,7.563893187854793,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
AZ,0.08061095057896257,0.06779523,0.096732342,4.16,4.742583579604725,3.6489815539407644,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
CA,0.18925801624952027,0.13433573000000001,0.27641134,12.24,13.973699340710782,10.721398560760749,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
CO,0.084731528589128,0.080328146,0.086679163,11.16,13.578911407020051,9.1719870810566,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
CT,0.16509435234972472,0.11966662,0.20656368,6.21,7.301991144500235,5.28131289628391,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
DE,0.10230620723124216,0.095888839,0.11140363,25.53,30.761990463176687,21.187864965376914,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
FL,0.09380877738767271,0.086937893,0.10525967,7.12,8.431775121283597,6.012304558744284,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
GA,0.06802195415692902,0.06538922,0.06538922,5.82,6.728428960664897,5.034221242138635,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
HI,0.3527428732554457,0.34467329999999996,0.34467329999999996,23.11,25.49485760546458,20.948228394322417,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
IA,0.0682133074894585,0.062608753,0.079178319,5.9,6.872377562653982,5.0652048265166965,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
ID,0.07187968699153001,0.07530017800000001,0.078164437,4.04,4.391646373185999,3.716510532281132,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
IL,0.08078263933352799,0.06340034700000001,0.099127539,10.23,12.163857524494954,8.603594689370157,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
IN,0.08179375934417416,0.061171101,0.09020752500000001,7.35,9.37118873479628,5.764743569768088,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
KS,0.07460536105323029,0.068547524,0.084398699,5.1,6.127351869081375,4.244900661123525,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
KY,0.06531802486718838,0.050458027999999995,0.07415298499999999,4.19,4.846359231827221,3.622533774365057,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
LA,0.05865279202105317,0.054588198,0.054588198,4.25,5.035408440738506,3.5870972955971188,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MA,0.16709208659141175,0.14203141,0.17103110000000002,12.22,15.986459424603103,9.340930098016836,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MD,0.1261588614378664,0.11878058,0.15942629,13.79,16.194112347282378,11.74279243727196,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
ME,0.1704857040995693,0.13178074,0.22621011,6.79,8.505642141756276,5.420413794940149,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MI,0.0840762303380335,0.083357007,0.085617705,8.11,8.768152201689146,7.5012498057834,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MN,0.09174487310243298,0.086334882,0.10363455,6.38,7.610716019478884,5.348300987163503,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MO,0.07750120284710789,0.068534312,0.076886412,6.74,7.647742656918472,5.940001126855946,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MS,0.06910144799180568,0.04310481099999999,0.081069169,4.76,5.527931934379582,4.0987480072044224,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MT,0.08494230569867249,0.06458836,0.10851682,7.38,8.39852981722967,6.4849921575875955,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NC,0.07112307411989194,0.067080482,0.074860623,6.7,7.442559918425085,6.0315268525912185,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
ND,0.07351550528240398,0.064064317,0.07781384799999999,2.6,3.282140130708559,2.0596317435540543,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NE,0.07113615226540045,0.06453702,0.070669473,4.7,5.431500106068048,4.067016398530702,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NH,0.22789341241279854,0.16658028000000002,0.26895195,8.65,10.690223125641792,6.999152320827541,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NJ,0.09518369516899385,0.08060827200000001,0.1221998,9.65,11.448138887913656,8.134291600734672,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NM,0.056989041048621396,0.048924488999999995,0.055892872,8.16,10.486265511488615,6.34979153703954,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NV,0.11231558408453535,0.11292581,0.120394,6.18,6.7791565997513725,5.633798163240647,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NY,0.06405028183186406,0.040824233,0.067760342,11.28,12.781017714597635,9.955263566740596,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
OH,0.08707631968233545,0.075735365,0.09760668300000001,10.66,12.365359053105845,9.189834238695868,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
OK,0.062133202265525385,0.050795918,0.07205911000000001,3.32,4.576905917746124,2.408264490922271,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
OR,0.07118330389523883,0.058577897,0.078244876,6.4,7.010770239741311,5.842439361058191,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
PA,0.08688116214053765,0.063682685,0.097152892,12.36,14.211936809119404,10.749386382155313,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
RI,0.26371919819633116,0.2800162,0.2800162,9.37,10.268696044572945,8.549956062474074,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
SC,0.06666004877718285,0.066625187,0.069623517,6.12,7.2662824791468985,5.154547749483771,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
SD,0.07911262725239468,0.073974774,0.084627523,5.88,6.812464827458718,5.075167487198232,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
TN,0.06224263709550628,0.047772362,0.068660977,4.96,5.594264893249695,4.397646602270382,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
TX,0.06776609387029463,0.061189125000000004,0.0702044,3.27,4.237212482140635,2.523569456351162,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
UT,0.06936000537646572,0.068566259,0.068566259,5.87,6.542752356386736,5.266422771811736,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
VA,0.09182666290658478,0.08403696,0.10263607000000001,4.99,5.851341870853592,4.25545123658406,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
VT,0.10895243524734556,0.10588328000000001,0.10588328000000001,4.39,4.931665907051456,3.9078275704856904,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
WA,0.06047139323026337,0.043013858999999995,0.07665625300000001,14.02,15.792370158766118,12.446542097475605,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
WI,0.08644505264092861,0.078343838,0.094848421,4.95,6.100514468127524,4.016464533936387,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
WV,0.07237618651105891,0.06681087299999999,0.080460641,4.26,5.4265323675943025,3.3442350972367305,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
WY,0.06845498586249804,0.065570575,0.065570575,6.93,8.071942408703286,5.94960885105162,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
