facility_id,nei_id,match_type,match_score
1000015,8010611,FRS Link,NA
1000016,8296911,FRS Link,NA
1000017,8099711,FRS Link,NA
1000019,7767911,FRS Link,NA
1000032,8130511,FRS Link,NA
1000034,3163611,FRS Link,NA
1000041,7097011,FRS Link,NA
1000042,4778711,FRS Link,NA
1000043,9132211,FRS Link,NA
1000045,7286911,FRS Link,NA
1000066,10139311,FRS Link,NA
1000089,4950811,FRS Link,NA
1000158,985511,FRS Link,NA
1000166,8048011,FRS Link,NA
1000183,8131111,FRS Link,NA
1000186,7937611,FRS Link,NA
1000228,8505211,FRS Link,NA
1000228,7980211,FRS Link,NA
1000230,7920511,FRS Link,NA
1000240,2613811,FRS Link,NA
1000248,7257611,FRS Link,NA
1000254,4878711,FRS Link,NA
1000256,5798711,FRS Link,NA
1000258,5747111,FRS Link,NA
1000261,946411,FRS Link,NA
1000272,5782311,FRS Link,NA
1000276,4762411,FRS Link,NA
1000297,4723811,FRS Link,NA
1000304,10612711,FRS Link,NA
1000305,7441011,FRS Link,NA
1000311,6444111,FRS Link,NA
1000319,4758811,FRS Link,NA
1000324,6518011,FRS Link,NA
1000325,999411,FRS Link,NA
1000334,7793311,FRS Link,NA
1000336,8137811,FRS Link,NA
1000342,8209311,FRS Link,NA
1000344,9423711,FRS Link,NA
1000348,4054911,FRS Link,NA
1000352,16670511,FRS Link,NA
1000353,6639911,FRS Link,NA
1000357,3935911,FRS Link,NA
1000360,5065611,FRS Link,NA
1000376,3345211,FRS Link,NA
1000377,6877911,FRS Link,NA
1000401,4129211,FRS Link,NA
1000405,9647411,FRS Link,NA
1000407,5723011,FRS Link,NA
1000409,5696511,FRS Link,NA
1000413,8065311,FRS Link,NA
1000415,5552411,FRS Link,NA
1000426,4973611,FRS Link,NA
1000427,4148511,FRS Link,NA
1000466,7361511,FRS Link,NA
1000466,4817211,FRS Link,NA
1000523,9248211,FRS Link,NA
1000590,4943811,FRS Link,NA
1000592,8465311,FRS Link,NA
1000603,7206311,FRS Link,NA
