Unit name,Heat demand (Steam kJ),Heat demand (Fuel kJ),Electricity demand (kWh),Heat produced (kJ),Fuel produced (kJ),Electricity produced (kWh),Waste heat (kJ),Compressed air demand (kg),Compressed air produced (kg)
Barking,0,0,10.421052631578949,0,0,0,0,0,0
Barking press,0,0,0.21671826625386997,0,767182.6625386999,0,0,0,0
Chipper,0,0,31.894736842105264,0,0,0,0,0,0
Screening,0,0,0,0,310526.31578947365,0,0,0,0
Digester,1253479.842575211,0,0,0,0,0,0,0,0
Blow tank,0,0,0,0,0,0,0,0,0
Washing filters,0,0,6.562898277207902,0,0,0,0,0,0
Screening 2,0,0,16.407245693019753,0,193605.4991776331,0,0,0,0
Bleaching,842681.9925344991,0,14.471190701243424,0,0,0,258032.14763641838,0,0
Washing 2,0,0,9.381028605186515,0,0,0,338434.9377859394,0,0
Drying press,0,0,0.23814,0,0,0,271315.68549938104,0,0
Dryer,1146229.8120381534,0,96.12421875,0,0,0,1093055.1582086547,0,0
Evaporators,1995799.2993732528,0,0,0,0,0,0,0,0
Recovery boiler,0,0,0,4677064.273381295,0,0,258012.75,0,0
Smelt dissolver,0,0,0,0,0,0,0,0,0
Slaking/causticizing,0,0,0,0,0,0,0,0,0
Lime mud filter,0,0,11.188316546762584,0,0,0,0,0,0
Lime mud wash,0,0,8.188316546762584,0,0,0,0,0,0
Lime kiln,0,103345.44760143485,0.003,0,0,0,94591.93293651655,0,0
