unit_matched,fuel_matched,ap42_category,so2_kg_mmbtu,nox_kg_mmbtu,pm25_kg_mmbtu,source,needs_review,explanation
"BFB (Boiler, bubbling fluidized bed)",Wood and Wood Residuals (dry basis),NG_small_uncontrolled,0.00026681904117647055,0.044469840196078435,0.003379707854901961,AP-42 §1.4 Table 1.4-1/1.4-2,False,Matched to AP-42 natural gas combustion (Section 1.4); converted from lb/1e6 scf to kg/MMBtu. Matched to AP-42 fuel oil combustion (Section 1.3); conversions used lb/1000gal -> kg/MMBtu. SO2 estimated using example ULSD sulfur where applicable. Fuel indicates biomass/wood — recommend AP-42 §1.6 biomass/wood-residue combustion tables.
C (Calciner),Anthracite,Process_unit_special,,,,AP-42 process chapter (manual selection required),True,Specialty process — AP-42 process chapters apply; manual review required. Flagged for manual review: missing numeric EF or ambiguous mapping.
"CCCT (CC (Turbine, combined cycle))",Fuel Gas,Gas_Turbine_generic,0.00026681904117647055,0.12451555254901962,0.003379707854901961,AP-42 §3.1 (gas turbines) - select appropriate table,False,Unit looks like a gas turbine — recommend AP-42 §3.1 gas turbine tables (manual selection).
"CCCT (CC (Turbine, combined cycle))",Natural Gas (Weighted U.S. Average),Gas_Turbine_generic,0.00026681904117647055,0.12451555254901962,0.003379707854901961,AP-42 §3.1 (gas turbines) - select appropriate table,False,Matched to AP-42 natural gas combustion (Section 1.4); converted from lb/1e6 scf to kg/MMBtu. Unit looks like a gas turbine — recommend AP-42 §3.1 gas turbine tables (manual selection).
"CFB (Boiler, circulating fluidized bed)",Agricultural Byproducts,NG_small_uncontrolled,0.00026681904117647055,0.044469840196078435,0.003379707854901961,AP-42 §1.4 Table 1.4-1/1.4-2,False,Matched to AP-42 natural gas combustion (Section 1.4); converted from lb/1e6 scf to kg/MMBtu. Matched to AP-42 fuel oil combustion (Section 1.3); conversions used lb/1000gal -> kg/MMBtu. SO2 estimated using example ULSD sulfur where applicable.
"CFB (Boiler, circulating fluidized bed)",Solid Byproducts,NG_small_uncontrolled,0.00026681904117647055,0.044469840196078435,0.003379707854901961,AP-42 §1.4 Table 1.4-1/1.4-2,False,Matched to AP-42 natural gas combustion (Section 1.4); converted from lb/1e6 scf to kg/MMBtu. Matched to AP-42 fuel oil combustion (Section 1.3); conversions used lb/1000gal -> kg/MMBtu. SO2 estimated using example ULSD sulfur where applicable.
"CFB (Boiler, circulating fluidized bed)",Wood and Wood Residuals (dry basis),NG_small_uncontrolled,0.00026681904117647055,0.044469840196078435,0.003379707854901961,AP-42 §1.4 Table 1.4-1/1.4-2,False,Matched to AP-42 natural gas combustion (Section 1.4); converted from lb/1e6 scf to kg/MMBtu. Matched to AP-42 fuel oil combustion (Section 1.3); conversions used lb/1000gal -> kg/MMBtu. SO2 estimated using example ULSD sulfur where applicable. Fuel indicates biomass/wood — recommend AP-42 §1.6 biomass/wood-residue combustion tables.
CH (Comfort heater),Distillate Fuel Oil No. 2,FuelOil_No2_uncontrolled,0.0006901083915,0.077758692,0.006479891,AP-42 §1.3 Table 1.3-1 (No.2 fuel oil),False,Matched to AP-42 fuel oil combustion (Section 1.3); conversions used lb/1000gal -> kg/MMBtu. SO2 estimated using example ULSD sulfur where applicable.
CH (Comfort heater),Liquefied petroleum gases (LPG),Fuel_combustion_generic,0.00026681904117647055,0.044469840196078435,0.003379707854901961,AP-42 §1.4/§1.3 fallback,False,Automatically matched; verify controls and sulfur where relevant.
CH (Comfort heater),Natural Gas (Weighted U.S. Average),NG_small_uncontrolled,0.00026681904117647055,0.044469840196078435,0.003379707854901961,AP-42 §1.4 Table 1.4-1/1.4-2,False,Matched to AP-42 natural gas combustion (Section 1.4); converted from lb/1e6 scf to kg/MMBtu.
CH (Comfort heater),Propane,Fuel_combustion_generic,0.00026681904117647055,0.044469840196078435,0.003379707854901961,AP-42 §1.4/§1.3 fallback,False,Fuel indicates propane/LPG — recommend AP-42 §1.5 LPG combustion tables.
CH (Comfort heater),Used Oil,Fuel_combustion_generic,0.00026681904117647055,0.044469840196078435,0.003379707854901961,AP-42 §1.4/§1.3 fallback,False,Automatically matched; verify controls and sulfur where relevant.
"CatH (Heater,  catalytic)",Natural Gas (Weighted U.S. Average),NG_small_uncontrolled,0.00026681904117647055,0.044469840196078435,0.003379707854901961,AP-42 §1.4 Table 1.4-1/1.4-2,False,Matched to AP-42 natural gas combustion (Section 1.4); converted from lb/1e6 scf to kg/MMBtu.
Chemical Recovery Combustion Unit,Natural Gas (Weighted U.S. Average),NG_small_uncontrolled,0.00026681904117647055,0.044469840196078435,0.003379707854901961,AP-42 §1.4 Table 1.4-1/1.4-2,False,Matched to AP-42 natural gas combustion (Section 1.4); converted from lb/1e6 scf to kg/MMBtu.
Chemical Recovery Combustion Unit,North American Hardwood,Biomass_generic,0.00026681904117647055,0.044469840196078435,0.003379707854901961,AP-42 §1.6 (wood residue combustion) - use table specific to fuel,False,Fuel indicates biomass/wood — recommend AP-42 §1.6 biomass/wood-residue combustion tables.
Chemical Recovery Furnace,North American Hardwood,Biomass_generic,0.00026681904117647055,0.044469840196078435,0.003379707854901961,AP-42 §1.6 (wood residue combustion) - use table specific to fuel,False,Fuel indicates biomass/wood — recommend AP-42 §1.6 biomass/wood-residue combustion tables.
F (Furnace),Distillate Fuel Oil No. 2,AP42_generic,,,,AP-42 relevant chapter (manual review required),True,Matched to AP-42 fuel oil combustion (Section 1.3); conversions used lb/1000gal -> kg/MMBtu. SO2 estimated using example ULSD sulfur where applicable. Flagged for manual review: missing numeric EF or ambiguous mapping.
F (Furnace),Fuel Gas,NG_small_uncontrolled,0.00026681904117647055,0.044469840196078435,0.003379707854901961,AP-42 §1.4 Table 1.4-1/1.4-2,False,Matched to AP-42 natural gas combustion (Section 1.4); converted from lb/1e6 scf to kg/MMBtu.
F (Furnace),Natural Gas (Weighted U.S. Average),NG_small_uncontrolled,0.00026681904117647055,0.044469840196078435,0.003379707854901961,AP-42 §1.4 Table 1.4-1/1.4-2,False,Matched to AP-42 natural gas combustion (Section 1.4); converted from lb/1e6 scf to kg/MMBtu.
FLR (Flare),Fuel Gas,NG_small_uncontrolled,0.00026681904117647055,0.044469840196078435,0.003379707854901961,AP-42 §1.4 Table 1.4-1/1.4-2,False,Matched to AP-42 natural gas combustion (Section 1.4); converted from lb/1e6 scf to kg/MMBtu.
FLR (Flare),Natural Gas (Weighted U.S. Average),NG_small_uncontrolled,0.00026681904117647055,0.044469840196078435,0.003379707854901961,AP-42 §1.4 Table 1.4-1/1.4-2,False,Matched to AP-42 natural gas combustion (Section 1.4); converted from lb/1e6 scf to kg/MMBtu.
