"","state","policy_label","tech_clean","naics_description","mean_lcoh_delta","total_emissions","elec_to_ng_ratio_low","elec_to_ng_ratio_high"
"1","MN","Capex: -0%, Elec: -50%","Scenario1","Ethyl Alcohol Manufacturing",6.2004641338189,3417749.18272885,4.245701207139,5.09644912743735
"2","MN","Capex: -100%, Elec: -0%","Scenario1","Ethyl Alcohol Manufacturing",20.0110951386933,3417749.18272885,4.245701207139,5.09644912743735
"3","MN","Capex: -50%, Elec: -0%","Scenario1","Ethyl Alcohol Manufacturing",20.0650977241976,3417749.18272885,4.245701207139,5.09644912743735
"4","MN","Capex: -50%, Elec: -50%","Scenario1","Ethyl Alcohol Manufacturing",6.14646154831455,3417749.18272885,4.245701207139,5.09644912743735
"5","MN","No Policy","Scenario1","Ethyl Alcohol Manufacturing",20.119100309702,3417749.18272885,4.245701207139,5.09644912743735
"6","IL","Capex: -0%, Elec: -50%","Scenario1","Ethyl Alcohol Manufacturing",3.77859049581485,3197136.56338082,2.94622214222868,4.60646927226498
"7","IL","Capex: -100%, Elec: -0%","Scenario1","Ethyl Alcohol Manufacturing",15.5786406885207,3197136.56338082,2.94622214222868,4.60646927226498
"8","IL","Capex: -50%, Elec: -0%","Scenario1","Ethyl Alcohol Manufacturing",15.632643274025,3197136.56338082,2.94622214222868,4.60646927226498
"9","IL","Capex: -50%, Elec: -50%","Scenario1","Ethyl Alcohol Manufacturing",3.7245879103105,3197136.56338082,2.94622214222868,4.60646927226498
"10","IL","No Policy","Scenario1","Ethyl Alcohol Manufacturing",15.6866458595294,3197136.56338082,2.94622214222868,4.60646927226498
"11","MN","Capex: -0%, Elec: -50%","Scenario3","Ethyl Alcohol Manufacturing",4.79638959460535,3075974.26445596,4.245701207139,5.09644912743735
"12","MN","Capex: -100%, Elec: -0%","Scenario3","Ethyl Alcohol Manufacturing",17.2259574989923,3075974.26445596,4.245701207139,5.09644912743735
"13","MN","Capex: -50%, Elec: -0%","Scenario3","Ethyl Alcohol Manufacturing",17.2745598259462,3075974.26445596,4.245701207139,5.09644912743735
"14","MN","Capex: -50%, Elec: -50%","Scenario3","Ethyl Alcohol Manufacturing",4.74778726765144,3075974.26445596,4.245701207139,5.09644912743735
"15","MN","No Policy","Scenario3","Ethyl Alcohol Manufacturing",17.3231621529001,3075974.26445596,4.245701207139,5.09644912743735
"16","IL","Capex: -0%, Elec: -50%","Scenario1","Wet Corn Milling and Starch Manufacturing",3.80244712157041,2987367.05072559,2.94622214222868,4.60646927226498
"17","IL","Capex: -100%, Elec: -0%","Scenario1","Wet Corn Milling and Starch Manufacturing",15.6024973142762,2987367.05072559,2.94622214222868,4.60646927226498
"18","IL","Capex: -50%, Elec: -0%","Scenario1","Wet Corn Milling and Starch Manufacturing",15.6564998997806,2987367.05072559,2.94622214222868,4.60646927226498
"19","IL","Capex: -50%, Elec: -50%","Scenario1","Wet Corn Milling and Starch Manufacturing",3.74844453606606,2987367.05072559,2.94622214222868,4.60646927226498
"20","IL","No Policy","Scenario1","Wet Corn Milling and Starch Manufacturing",15.7105024852849,2987367.05072559,2.94622214222868,4.60646927226498
"21","IL","Capex: -0%, Elec: -50%","Scenario3","Ethyl Alcohol Manufacturing",2.57557392729068,2877459.70704273,2.94622214222868,4.60646927226498
"22","IL","Capex: -100%, Elec: -0%","Scenario3","Ethyl Alcohol Manufacturing",13.1956191007259,2877459.70704273,2.94622214222868,4.60646927226498
"23","IL","Capex: -50%, Elec: -0%","Scenario3","Ethyl Alcohol Manufacturing",13.2442214276798,2877459.70704273,2.94622214222868,4.60646927226498
"24","IL","Capex: -50%, Elec: -50%","Scenario3","Ethyl Alcohol Manufacturing",2.52697160033676,2877459.70704273,2.94622214222868,4.60646927226498
"25","IL","No Policy","Scenario3","Ethyl Alcohol Manufacturing",13.2928237546337,2877459.70704273,2.94622214222868,4.60646927226498
"26","IL","Capex: -0%, Elec: -50%","Scenario3","Wet Corn Milling and Starch Manufacturing",2.59942954415701,2690734.33565303,2.94622214222868,4.60646927226498
"27","IL","Capex: -100%, Elec: -0%","Scenario3","Wet Corn Milling and Starch Manufacturing",13.2194747175922,2690734.33565303,2.94622214222868,4.60646927226498
"28","IL","Capex: -50%, Elec: -0%","Scenario3","Wet Corn Milling and Starch Manufacturing",13.2680770445462,2690734.33565303,2.94622214222868,4.60646927226498
"29","IL","Capex: -50%, Elec: -50%","Scenario3","Wet Corn Milling and Starch Manufacturing",2.5508272172031,2690734.33565303,2.94622214222868,4.60646927226498
"30","IL","No Policy","Scenario3","Wet Corn Milling and Starch Manufacturing",13.3166793715001,2690734.33565303,2.94622214222868,4.60646927226498
"31","MN","Capex: -0%, Elec: -50%","Scenario2","Ethyl Alcohol Manufacturing",2.11000665141165,1879020.33194878,4.245701207139,5.09644912743735
"32","MN","Capex: -100%, Elec: -0%","Scenario2","Ethyl Alcohol Manufacturing",7.95544316202316,1879020.33194878,4.245701207139,5.09644912743735
"33","MN","Capex: -50%, Elec: -0%","Scenario2","Ethyl Alcohol Manufacturing",8.8671751250836,1879020.33194878,4.245701207139,5.09644912743735
"34","MN","Capex: -50%, Elec: -50%","Scenario2","Ethyl Alcohol Manufacturing",1.19827468835121,1879020.33194878,4.245701207139,5.09644912743735
