state,elec_price,ng_price,r,t,ngboiler_om_best,ngboiler_om_worst,eboiler_om_best,eboiler_om_worst,hthp_om_best,hthp_om_worst
CT,0.17300000000000001,6.8,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
ME,0.12710000000000002,8.66,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MA,0.1813,13.2,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NH,0.162,9.28,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
RI,0.19699999999999998,12.76,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
VT,0.11689999999999999,4.52,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NJ,0.1202,7.96,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NY,0.0911,10.77,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
PA,0.0784,9.38,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
IL,0.0916,6.54,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
IN,0.0799,4.91,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MI,0.0827,7.57,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
OH,0.0716,7.73,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
WI,0.0852,5.76,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
IA,0.06849999999999999,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
KS,0.0767,5.56,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MN,0.09140000000000001,6.18,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MO,0.079,7.98,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NE,0.0753,4.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
ND,0.0739,2.21,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
SD,0.084,4.82,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
DE,0.0823,13.71,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
FL,0.0852,4.67,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
GA,0.07200000000000001,4.77,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MD,0.10060000000000001,11.89,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NC,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
SC,0.0682,4.92,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
VA,0.08779999999999999,4.34,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
WV,0.0781,3.93,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
AL,0.0723,4.53,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
KY,0.0653,3.54,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MS,0.0673,4.43,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
TN,0.0621,5.51,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
AR,0.0655,7.58,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
LA,0.0557,3.38,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
OK,0.057800000000000004,3.03,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
TX,0.0626,2.36,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
AZ,0.08039999999999999,5.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
CO,0.08779999999999999,7.59,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
ID,0.07690000000000001,5.08,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
MT,0.0764,6.25,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NV,0.0849,10.69,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
NM,0.0552,5.05,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
UT,0.0684,7.75,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
WY,0.0796,4.14,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
CA,0.2198,11.38,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
OR,0.07919999999999999,7.98,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
WA,0.0637,12.3,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
AK,0.1929,6.35,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
HI,0.34130000000000005,28.35,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
