state,elec_price_high,elec_price_low,ng_price,r,t,ngboiler_om_best,ngboiler_om_worst,eboiler_om_best,eboiler_om_worst,hthp_om_best,hthp_om_worst
AK,0.4375,0.09807156631669167,6.35,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
AL,0.1442473651353237,0.04547897687740462,4.53,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
AR,0.15444888065022103,0.04769750409488682,7.58,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
AZ,0.12875235137145108,0.01906487493079672,5.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
CA,0.2983672065239855,0.024446929048771205,11.38,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
CO,0.1809048948658043,0.026099916537498512,7.59,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
CT,0.2978608663095444,0.06270202334273764,6.8,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
DE,0.12153055643513055,0.009086816606479742,13.71,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
FL,0.20614469772051536,0.054905326674989596,4.67,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
GA,0.19351850093976042,0.03357754325100804,4.77,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
HI,0.3966619564045377,0.3383724541290339,28.35,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
IA,0.13513513513513514,0.06260875305340656,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
ID,0.15,0.04652602171054769,5.08,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
IL,0.16665214739959927,0.007503090830269264,6.54,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
IN,0.13234885775590055,0.037258739531326454,4.91,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
KS,0.16839237057220707,0.0025943396226415097,5.56,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
KY,0.11248947516138087,0.04216651102650672,3.54,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
