state,elec_price_mean,elec_price_low,elec_price_high,ng_price,r,t,ngboiler_om_low,ngboiler_om_high,eboiler_om_low,eboiler_om_high,hthp_om_low,hthp_om_high
AK,0.1816427217305133,0.13651356,0.20796862000000002,6.35,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
AL,0.07068062890732632,0.064627632,0.07670691,4.53,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
AR,0.06813184418059429,0.067950403,0.070047107,7.58,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
AZ,0.08061095057896257,0.06779523,0.096732342,5.37,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
CA,0.18925801624952027,0.13433573000000001,0.27641134,11.38,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
CO,0.084731528589128,0.080328146,0.086679163,7.59,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
CT,0.16509435234972472,0.11966662,0.20656368,6.8,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
DE,0.10230620723124216,0.095888839,0.11140363,13.71,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
FL,0.09380877738767271,0.086937893,0.10525967,4.67,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
GA,0.06802195415692902,0.06538922,0.06538922,4.77,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
HI,0.3527428732554457,0.34467329999999996,0.34467329999999996,28.35,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
IA,0.0682133074894585,0.062608753,0.079178319,5.65,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
ID,0.07187968699153001,0.07530017800000001,0.078164437,5.08,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
IL,0.08078263933352799,0.06340034700000001,0.099127539,6.54,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
IN,0.08179375934417416,0.061171101,0.09020752500000001,4.91,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
KS,0.07460536105323029,0.068547524,0.084398699,5.56,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
KY,0.06531802486718838,0.050458027999999995,0.07415298499999999,3.54,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
LA,0.05865279202105317,0.054588198,0.054588198,3.38,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05
