parent_company,facility_name,address1,address2,city,county,county_fips,state,state_name,zip,facility_id,primary_naics,naics_title,ej_indicator,egrid_region,cogen_unit_emm_ind,cems_used,byproduct_fuels,year,full_address,latitude,longitude
LAMB-WESTON/RDO FROZEN FOODS INC (100%),LAMB WESTON RDO FROZEN,3704 PARK AVENUE SOUTH,NA,PARK RAPIDS,HUBBARD COUNTY,27057,MN,MINNESOTA,56470,1000610,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",NA,NA,N,NA,NA,2023,"3704 PARK AVENUE SOUTH, PARK RAPIDS, MN, 56470",46.915295,-95.0583541
POET LLC (100%),POET BIOREFINING GLENVILLE LLC,15300 780TH AVE,NA,ALBERT LEA,FREEBORN COUNTY,27047,MN,MINNESOTA,56007,1000857,325193,Ethyl Alcohol Manufacturing,NA,NA,N,NA,NA,2023,"15300 780TH AVE, ALBERT LEA, MN, 56007",43.65492,-93.3089563
GUARDIAN ENERGY LLC (100%),GUARDIAN ENERGY LLC,4745 380TH AVE,NA,JANESVILLE,WASECA COUNTY,27161,MN,MINNESOTA,56048,1000872,325193,Ethyl Alcohol Manufacturing,NA,NA,N,NA,NA,2023,"4745 380TH AVE, JANESVILLE, MN, 56048",44.109324,-93.6810628
CHIPPEWA VALLEY AGRAFUELS COOPERATIVE (100%),CHIPPEWA VALLEY ETHANOL COMPANY,270 20TH STREET NORTHWEST,NA,BENSON,SWIFT COUNTY,27151,MN,MINNESOTA,56215,1001143,325193,Ethyl Alcohol Manufacturing,NA,NA,N,NA,NA,2023,"270 20TH STREET NORTHWEST, BENSON, MN, 56215",45.32629613,-95.63865219
ARCHER DANIELS MIDLAND CO (100%),ARCHER DANIELS MIDLAND,400 WEST ERIE ROAD,NA,MARSHALL,LYON COUNTY,27083,MN,MINNESOTA,56258,1001945,311221,Wet Corn Milling and Starch Manufacturing,NA,NA,N,NA,NA,2023,"400 WEST ERIE ROAD, MARSHALL, MN, 56258",44.47446233,-95.78361718
SAPPI NORTH AMERICA INC (100%),SAPPI CLOQUET LLC,2201 AVENUE B,NA,CLOQUET,CARLTON COUNTY,27017,MN,MINNESOTA,55720,1001995,322120,Paper Mills,NA,NA,N,NA,NA,2023,"2201 AVENUE B, CLOQUET, MN, 55720",46.7231569,-92.4397406
ARCHER DANIELS MIDLAND CO (100%),ADM - MANKATO,2019 3RD AVENUE,NA,MANKATO,BLUE EARTH COUNTY,27013,MN,MINNESOTA,56001,1002154,311225,Fats and Oils Refining and Blending,NA,NA,Y,NA,NA,2023,"2019 3RD AVENUE, MANKATO, MN, 56001",44.187055,-93.995435
GRANITE FALLS ENERGY LLC (100%),GRANITE FALLS ENERGY LLC,15045 HIGHWAY 23 SE,NA,GRANITE FALLS,CHIPPEWA COUNTY,27023,MN,MINNESOTA,56241,1002173,325193,Ethyl Alcohol Manufacturing,NA,NA,N,NA,NA,2023,"15045 HIGHWAY 23 SE, GRANITE FALLS, MN, 56241",44.79698043,-95.48447545
DENCO II LLC (100%),"DENCO II, LLC",227 COUNTY ROAD 22 S,NA,MORRIS,STEVENS COUNTY,27149,MN,MINNESOTA,56267,1002177,325193,Ethyl Alcohol Manufacturing,NA,NA,N,NA,NA,2023,"227 COUNTY ROAD 22 S, MORRIS, MN, 56267",45.57481291,-95.91189433
AG PROCESSING INC A COOPERATIVE (100%),AG PROCESSING INCORPORATED A COOPERATIVE,800 DIAGONAL STREET,NA,DAWSON,LAC QUI PARLE COUNTY,27073,MN,MINNESOTA,56232,1002291,311224,Soybean and Other Oilseed Processing,NA,NA,N,NA,NA,2023,"800 DIAGONAL STREET, DAWSON, MN, 56232",44.933847,-96.059519
