facility_id,tech_scenario,capex,change_in_electricity_demand_kwh,heat_mmbtu,facility_name,state,fuels,ng_dum,fuel_oils_dum,coal_dum,byproducts_dum,propane_dum,other_dum,naics_code,naics_description,county_fips,subregion,latitude,longitude,sector,elec_price,ng_price,r,t,ngboiler_om_best,ngboiler_om_worst,eboiler_om_best,eboiler_om_worst,hthp_om_best,hthp_om_worst,pollutant_type,grid_emissions_kg_kwh,base_emissions,facility_emissions,base_lcoh
1000016,Baseline,113328.69219510016,0,607500.9423294383,TYSON FARMS INCORPORATED HARMONY,NC,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,311613,Rendering and Meat Byproduct Processing,37097,SRVC,35.95458,-80.72108,Food & Beverage,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,co2e,0.270488702992,40292.5,40292.5,6.720457927832069
1000016,Baseline,113328.69219510016,0,607500.9423294383,TYSON FARMS INCORPORATED HARMONY,NC,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,311613,Rendering and Meat Byproduct Processing,37097,SRVC,35.95458,-80.72108,Food & Beverage,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,nox,1.27912944e-4,NA,NA,6.720457927832069
1000016,Baseline,113328.69219510016,0,607500.9423294383,TYSON FARMS INCORPORATED HARMONY,NC,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,311613,Rendering and Meat Byproduct Processing,37097,SRVC,35.95458,-80.72108,Food & Beverage,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,so2,6.8945984e-5,NA,NA,6.720457927832069
1000016,Baseline,113328.69219510016,0,607500.9423294383,TYSON FARMS INCORPORATED HARMONY,NC,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,311613,Rendering and Meat Byproduct Processing,37097,SRVC,35.95458,-80.72108,Food & Beverage,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,pm25,2.3359988e-5,NA,NA,6.720457927832069
1000016,Scenario1,856822.0776235157,178040951.1944968,607500.9423294383,TYSON FARMS INCORPORATED HARMONY,NC,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,311613,Rendering and Meat Byproduct Processing,37097,SRVC,35.95458,-80.72108,Food & Beverage,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,co2e,0.270488702992,40292.5,0,6.869251152383351
1000016,Scenario1,856822.0776235157,178040951.1944968,607500.9423294383,TYSON FARMS INCORPORATED HARMONY,NC,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,311613,Rendering and Meat Byproduct Processing,37097,SRVC,35.95458,-80.72108,Food & Beverage,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,nox,1.27912944e-4,NA,NA,6.869251152383351
1000016,Scenario1,856822.0776235157,178040951.1944968,607500.9423294383,TYSON FARMS INCORPORATED HARMONY,NC,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,311613,Rendering and Meat Byproduct Processing,37097,SRVC,35.95458,-80.72108,Food & Beverage,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,so2,6.8945984e-5,NA,NA,6.869251152383351
1000016,Scenario1,856822.0776235157,178040951.1944968,607500.9423294383,TYSON FARMS INCORPORATED HARMONY,NC,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,311613,Rendering and Meat Byproduct Processing,37097,SRVC,35.95458,-80.72108,Food & Beverage,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,pm25,2.3359988e-5,NA,NA,6.869251152383351
1000016,Scenario2,14465827.284552865,134590361.39040154,607500.9423294383,TYSON FARMS INCORPORATED HARMONY,NC,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,311613,Rendering and Meat Byproduct Processing,37097,SRVC,35.95458,-80.72108,Food & Beverage,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,co2e,0.270488702992,40292.5,0,9.592782803586148
1000016,Scenario2,14465827.284552865,134590361.39040154,607500.9423294383,TYSON FARMS INCORPORATED HARMONY,NC,['Natural Gas (Weighted U.S. Average)'],1,0,0,0,0,0,311613,Rendering and Meat Byproduct Processing,37097,SRVC,35.95458,-80.72108,Food & Beverage,0.07690000000000001,5.48,0.065,30,0.03,0.06,0.01,0.01,0.01,0.05,nox,1.27912944e-4,NA,NA,9.592782803586148
