facility_id,tech_scenario,capex,change_in_electricity_demand_kwh,heat_mmbtu,facility_name,state,fuels,naics_code,naics_description,county_fips,subregion,latitude,longitude,sector,r,t,elec_price,ng_price,ngboiler_om_best,ngboiler_om_worst,eboiler_om_best,eboiler_om_worst,hthp_om_best,hthp_om_worst
1000037,Baseline,92237.88304389143,0,474376.177911798,tyson fresh meats inc,IL,"['Other Biomass Gases', 'Natural Gas (Weighted U.S. Average)']",311611,Animal (except Poultry) Slaughtering,17161,RFCW,41.5514,-90.2256,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1000037,Scenario1,669062.3075825195,139025934.043121,474376.177911798,tyson fresh meats inc,IL,"['Other Biomass Gases', 'Natural Gas (Weighted U.S. Average)']",311611,Animal (except Poultry) Slaughtering,17161,RFCW,41.5514,-90.2256,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1000037,Scenario2,11295857.141003583,83100838.10284482,474376.177911798,tyson fresh meats inc,IL,"['Other Biomass Gases', 'Natural Gas (Weighted U.S. Average)']",311611,Animal (except Poultry) Slaughtering,17161,RFCW,41.5514,-90.2256,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1000037,Scenario3,602156.0768242679,125123340.6388089,474376.177911798,tyson fresh meats inc,IL,"['Other Biomass Gases', 'Natural Gas (Weighted U.S. Average)']",311611,Animal (except Poultry) Slaughtering,17161,RFCW,41.5514,-90.2256,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1000037,Scenario4,10166271.426903222,74790754.29256034,474376.177911798,tyson fresh meats inc,IL,"['Other Biomass Gases', 'Natural Gas (Weighted U.S. Average)']",311611,Animal (except Poultry) Slaughtering,17161,RFCW,41.5514,-90.2256,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1000248,Baseline,264158.4750203445,0,1678873.727855258,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1000248,Scenario1,2367891.1016213787,492029319.8174294,1678873.727855258,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1000248,Scenario2,39977382.23516613,215955102.85063446,1678873.727855258,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1000248,Scenario3,2131101.991459241,442826387.8356864,1678873.727855258,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1000248,Scenario4,35979644.01164953,194359592.56557107,1678873.727855258,"otsego paper, inc.",MI,['Natural Gas (Weighted U.S. Average)'],322120,Paper Mills,26005,RFCM,42.4641,-85.6941,Pulp & Paper,0.065,30,0.0827,7.57,0.03,0.06,0.01,0.01,0.01,0.05
1000376,Baseline,267049.37586564885,0,1700967.960799095,adm quincy,IL,"['Natural Gas (Weighted U.S. Average)', 'Propane']",311224,Soybean and Other Oilseed Processing,17001,SRMW,39.903884,-91.410552,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1000376,Scenario1,2399052.9077279624,498504500.307109,1700967.960799095,adm quincy,IL,"['Natural Gas (Weighted U.S. Average)', 'Propane']",311224,Soybean and Other Oilseed Processing,17001,SRMW,39.903884,-91.410552,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
1000376,Scenario2,40503490.649952605,260507510.5450523,1700967.960799095,adm quincy,IL,"['Natural Gas (Weighted U.S. Average)', 'Propane']",311224,Soybean and Other Oilseed Processing,17001,SRMW,39.903884,-91.410552,Food & Beverage,0.065,30,0.0916,6.54,0.03,0.06,0.01,0.01,0.01,0.05
